Condition,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time,Predict Time
Noiseless (default sampler),0.9098086208719557,0.009951219512195122,0.5368421052631579,0.01954022988505747,0.8168782267047825,100.28014802932739,98.4743812084198
"Noisy (0.1%/1qubit, 1%/2qubit depolarizing + 1% readout)",0.8961688929616184,0.007978271940247837,0.49473684210526314,0.015703307718008687,0.7943315907462962,188.92547988891602,335.2441580295563
