Model,Balancing,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time,Kernel Time (train+eval)
QSVM,None,0.876,0.8636363636363636,0.8,0.8306010928961749,0.916943972835314,25.991432905197144,136.5181429386139
VQC (matched subset),None,0.788,0.8088235294117647,0.5789473684210527,0.6748466257668712,0.8368081494057725,7.4103779792785645,
QSVM,SMOTE,0.884,0.8666666666666667,0.8210526315789474,0.8432432432432433,0.9134804753820034,25.064552783966064,129.95681595802307
VQC (matched subset),SMOTE,0.752,0.7142857142857143,0.5789473684210527,0.6395348837209303,0.8210526315789474,7.120654821395874,
QSVM,ADASYN,0.656,0.5454545454545454,0.5684210526315789,0.5567010309278351,0.6893378607809846,25.46568512916565,128.97488498687744
VQC (matched subset),ADASYN,0.604,0.48333333333333334,0.6105263157894737,0.5395348837209303,0.6461120543293718,6.977154970169067,
