Feature Map,Ansatz,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time
ZZFeatureMap,RealAmplitudes,0.9394142318401297,0.014804063860667634,0.5368421052631579,0.0288135593220339,0.8343991698014344,101.04558324813843
ZZFeatureMap,EfficientSU2,0.9063370105381877,0.009029345372460496,0.5052631578947369,0.01774163740528553,0.7801891358818398,106.82707381248474
"PauliFeatureMap(Z,ZZ)",RealAmplitudes,0.9356606633066648,0.013143483023001095,0.5052631578947369,0.025620496397117692,0.8322879978891997,89.67185187339783
"PauliFeatureMap(Z,ZZ)",EfficientSU2,0.8647834208578579,0.0068974492451847995,0.5578947368421052,0.013626430132407764,0.7623792584141683,106.02347493171692
