Qubits,Features,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time,Predict Time
2,"V14, V17",0.98898600782434,0.0477815699658703,0.2947368421052631,0.0822320117474302,0.9227149797142058,19.252849817276,36.94618606567383
4,"V10, V12, V14, V17",0.8917985408663166,0.006852667645619187,0.4421052631578947,0.013496143958868894,0.7637514644141554,53.19093704223633,106.84185719490051
6,"V10, V11, V12, V14, V16, V17",0.706992563352483,0.0012068549360366883,0.21052631578947367,0.0023999520009599807,0.3753783321518921,163.56505584716797,252.36875820159912
8,"V3, V4, V10, V11, V12, V14, V16, V17",0.6808938074930392,0.0021007241970258167,0.4,0.004179498460184778,0.5512039086967387,384.75576281547546,840.9043519496918
